Tipo de produto florestal;Tipo de Floresta;Tipo de Uso;Tipo de produto extrativo (com código);Tipo de produto extrativo;Unidade de Medida PEVS;Unidade de Medida transformada;Ano_PEVS;Quantidade PEVS;Quantidade transformada;Valor (mil reais)
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;1994;98857;98857;46312
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;1995;108922;108922;35075
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;1996;111438;111438;51801
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;1997;100214;100214;35690
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;1998;119074;119074;48685
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;1999;116132;116132;54127
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2000;121800;121800;59303
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2001;123135;123135;66845
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2002;131958;131958;82899
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2003;144531;144531;70582
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2004;101041;101041;61905
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2005;104874;104874;83220
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2006;101341;101341;103215
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2007;108033;108033;106664
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2008;120890;120890;133746
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2009;115947;115947;160528
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2010;124421;124421;179378
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2011;215381;215381;304566
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2012;199116;199116;336234
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2013;202216;202216;409698
PFNM;Floresta Natural;Alimentícios;1.1 - Açaí (fruto) (Toneladas);Açaí (fruto);Toneladas;Toneladas;2014;198149;198149;422064
PFNM;Floresta Natural;Alimentícios;1.2 - Castanha-de-caju (Toneladas);Castanha de cajú;Toneladas;Toneladas;1994;6601;6601;1956
PFNM;Floresta Natural;Alimentícios;1.2 - Castanha-de-caju (Toneladas);Castanha de cajú;Toneladas;Toneladas;1995;6239;6239;2093
PFNM;Floresta Natural;Alimentícios;1.2 - Castanha-de-caju (Toneladas);Castanha de cajú;Toneladas;Toneladas;1996;5041;5041;1862
